Medicine,Possible_Conditions,Dosage_Adult,Side_Effects,Interactions,Warnings
"Diphenhydramine (Benadryl)","Sneezing, Runny Nose, Sleep Aid",25-50 mg every 4-6 hours as needed,"Drowsiness, dizziness, dry mouth, blurred vision, difficulty urinating","Alcohol, other sedatives, certain antidepressants","Causes drowsiness; Avoid driving or operating machinery. Avoid alcohol. May cause excitability in children. Use with caution in elderly."
"Clotrimazole (Canesten, Lotrimin)","Fungal infection",Apply 1% cream 2x/day for 2-4 weeks,"Itching, Redness","Antifungals","Avoid contact with eyes"
"Ursodiol (Urso, Actigall)","Chronic cholestasis",10-15mg/kg daily,"Diarrhea, Nausea","Antacids","Take with food"
"Acyclovir (Zovirax)","Chicken pox",800mg 5x/day for 7 days,"Nausea, Headache","Other antivirals","Stay hydrated"
"Ribavirin (Rebetol, Virazole)","Hepatitis C",800-1200mg daily,"Nausea, Fatigue","Other antivirals","Not for pregnancy"
"Oseltamivir (Tamiflu)","Dengue",75mg 2x/day for 5 days,"Nausea, Headache","None significant","Start within 48 hours"
"Benzoyl Peroxide (Benzac, PanOxyl)","Acne",Apply 2.5-5% gel daily,"Irritation, Dryness","Other topicals","Avoid sun exposure"
"Calcipotriene (Dovonex)","Psoriasis",Apply 0.005% cream 2x/day,"Skin irritation, Itching","Other topicals","Avoid excessive use"
"Mupirocin (Bactroban)","Impetigo",Apply 2% ointment 3x/day for 5-7 days,"Itching, Burning","Other topicals","Clean area before use"
"Oseltamivir (Tamiflu)","Malaria",75mg 2x/day for 5 days,"Nausea, Headache","None significant","Start within 48 hours"
"Aspirin (Disprin, Ecotrin)","Heart attack",300mg chewed immediately,"Stomach upset, Bleeding","NSAIDs","Seek emergency care"
"Alteplase (Activase)","Paralysis (brain hemorrhage)",0.9mg/kg IV over 60 min,"Bleeding, Nausea","Anticoagulants","Emergency use only"
"Tenofovir (Viread)","AIDS",300mg daily,"Fatigue, Nausea","Other antivirals","Monitor kidney function"
"Propranolol (Inderal)","Migraine",40-80mg daily,"Fatigue, Dizziness","NSAIDs","Monitor heart rate"
"Gabapentin (Neurontin)","Cervical spondylosis",300-600mg 3x/day,"Dizziness, Fatigue","Alcohol","Not for pregnancy"
"Surgery","Varicose veins",As per surgical protocol,"Bleeding, Infection","Anticoagulants","Consult specialist"
"Lidocaine (Xylocaine)","Hemorrhoids",Apply 2% cream 2-3x/day,"Irritation, Redness","Other topicals","Avoid broken skin"
"Betahistine (Serc)","(vertigo) Paroxysmal Positional Vertigo",16mg 3x/day,"Nausea, Headache","Antihistamines","Take with food"
"Naproxen (Aleve, Naprosyn)","Osteoarthritis",250-500mg 2x/day,"Stomach upset, Bleeding","NSAIDs","Avoid in ulcers"
"Methotrexate (Trexall)","Arthritis",7.5-15mg weekly,"Nausea, Liver issues","NSAIDs","Monitor liver function"
"Prednisone (Deltasone)","Drug Reaction",5-60mg daily,"Weight gain, Insomnia","NSAIDs","Short-term use only"
"Interferon alfa (Intron A, Roferon-A)","Hepatitis B",5-10 million units 3x/week,"Fatigue, Fever","Other antivirals","Monitor liver function"
"Ribavirin (Rebetol, Virazole)","Hepatitis A",800-1200mg daily,"Nausa, Fatigue","Other antivirals","Not for pregnancy"
"Ribavirin (Rebetol, Virazole)","Hepatitis D",800-1200mg daily,"Nausea, Fatigue","Other antivirals","Not for pregnancy"
"Ribavirin (Rebetol, Virazole)","Hepatitis E",800-1200mg daily,"Nausea, Fatigue","Other antivirals","Not for pregnancy"
"Ursodiol (Urso, Actigall)","Alcoholic hepatitis",10-15mg/kg daily,"Diarrhea, Nausea","Antacids","Take with food"
