"Symptom","Possible_Conditions","Severity","Related_Symptoms","Urgency","Notes"
"back_pain","Cervical spondylosis,Dengue","Moderate","neck_pain,weakness_in_limbs,dizziness","Medium","Severity and urgency inferred from symptom type. Note pain severity."
"weakness_in_limbs","Cervical spondylosis","Severe","back_pain,neck_pain,dizziness","High","Severity and urgency inferred from symptom type. Neurological concern."
"neck_pain","Cervical spondylosis,Osteoarthritis","Moderate","back_pain,dizziness,loss_of_balance","Medium","Severity and urgency inferred from symptom type. Pain location matters."
"weakness_of_one_body_side","Paralysis (brain hemorrhage)","Severe","vomiting,headache,altered_sensorium","Emergency","Severity and urgency inferred from symptom type. Stroke symptom."
"altered_sensorium","Paralysis (brain hemorrhage)","Severe","vomiting,headache,weakness_of_one_body_side","Emergency","Severity and urgency inferred from symptom type. Neurological emergency."
"dark_urine","Jaundice,hepatitis A,Hepatitis B,Hepatitis D,Hepatitis E","Severe","yellowish_skin,abdominal_pain,vomiting","High","Severity and urgency inferred from symptom type. Liver function issue."
"sweating","Malaria,Dengue,Heart attack,Tuberculosis,Pneumonia,Hyperthyroidism,Hypoglycemia","Moderate","high_fever,chest_pain,vomiting","Medium","Severity and urgency inferred from symptom type. Monitor intensity."
"muscle_pain","Malaria,hepatitis A,Dengue,Common Cold","Moderate","high_fever,nausea,vomiting","Medium","Severity and urgency inferred from symptom type. Note if widespread."
"mild_fever","Chicken pox,Tuberculosis,hepatitis A","Moderate","high_fever,fatigue,loss_of_appetite","Medium","Severity and urgency inferred from symptom type. Monitor progression."
"swelled_lymph_nodes","Chicken pox,Tuberculosis,Common Cold","Moderate","high_fever,fatigue,headache","Medium","Severity and urgency inferred from symptom type. Infection indicator."
"malaise","Chicken pox,Hepatitis B,Dengue,Tuberculosis,Common Cold,Pneumonia","Moderate","fatigue,high_fever,loss_of_appetite","Medium","Severity and urgency inferred from symptom type. General unwellness."
"red_spots_over_body","Chicken pox,Dengue","Mild","skin_rash,high_fever,fatigue","Low","Severity and urgency inferred from symptom type. Rash pattern matters."
"pain_behind_the_eyes","Dengue","Moderate","headache,high_fever,nausea","Medium","Severity and urgency inferred from symptom type. Specific to dengue."
"constipation","Typhoid,Hemorrhoids","Moderate","abdominal_pain,nausea,vomiting","Medium","Severity and urgency inferred from symptom type. Note if chronic."
"toxic_look_(typhos)","Typhoid","Severe","high_fever,vomiting,fatigue","High","Severity and urgency inferred from symptom type. Specific to typhoid."
"belly_pain","Typhoid","Moderate","abdominal_pain,nausea,vomiting","Medium","Severity and urgency inferred from symptom type. Synonym for abdominal pain."
"yellow_urine","Hepatitis B","Severe","yellowish_skin,yellowing_of_eyes,loss_of_appetite","High","Severity and urgency inferred from symptom type. Liver function issue."
"receiving_blood_transfusion","Hepatitis B","Varies","fatigue,yellowish_skin,yellowing_of_eyes","Varies","Severity and urgency inferred from symptom type. Risk factor for hepatitis."
"receiving_unsterile_injections","Hepatitis B","Varies","fatigue,yellowish_skin,yellowing_of_eyes","Varies","Severity and urgency inferred from symptom type. Risk factor for hepatitis."
"coma","Hepatitis E","Severe","yellowish_skin,abdominal_pain,vomiting","Emergency","Severity and urgency inferred from symptom type. Life-threatening."
"stomach_bleeding","Hepatitis E","Severe","yellowish_skin,abdominal_pain,vomiting","Emergency","Severity and urgency inferred from symptom type. Gastrointestinal emergency."
"acute_liver_failure","Hepatitis E","Severe","yellowish_skin,abdominal_pain,vomiting","Emergency","Severity and urgency inferred from symptom type. Liver emergency."
"swelling_of_stomach","Alcoholic hepatitis","Severe","abdominal_pain,yellowish_skin,vomiting","High","Severity and urgency inferred from symptom type. Liver-related swelling."
"distention_of_abdomen","Alcoholic hepatitis","Severe","abdominal_pain,yellowish_skin,vomiting","High","Severity and urgency inferred from symptom type. Abdominal swelling."
"history_of_alcohol_consumption","Alcoholic hepatitis","Varies","abdominal_pain,yellowish_skin,vomiting","Varies","Severity and urgency inferred from symptom type. Risk factor for liver disease."
"fluid_overload","Alcoholic hepatitis","Severe","abdominal_pain,yellowish_skin,vomiting","High","Severity and urgency inferred from symptom type. Indicates liver dysfunction."
"phlegm","Tuberculosis,Common Cold,Pneumonia","Moderate","cough,chest_pain,high_fever","Medium","Severity and urgency inferred from symptom type. Respiratory symptom."
"blood_in_sputum","Tuberculosis","Severe","cough,chest_pain,high_fever","High","Severity and urgency inferred from symptom type. Possible tuberculosis."
"throat_irritation","Common Cold","Mild","continuous_sneezing,cough,high_fever","Low","Severity and urgency inferred from symptom type. Common in colds."
"redness_of_eyes","Common Cold","Mild","continuous_sneezing,cough,high_fever","Low","Severity and urgency inferred from symptom type. Eye irritation."
"sinus_pressure","Common Cold","Moderate","continuous_sneezing,cough,high_fever","Medium","Severity and urgency inferred from symptom type. Sinus-related."
"runny_nose","Common Cold","Mild","continuous_sneezing,cough,high_fever","Low","Severity and urgency inferred from symptom type. Common in colds."
"congestion","Common Cold","Mild","continuous_sneezing,cough,high_fever","Low","Severity and urgency inferred from symptom type. Nasal congestion."
"loss_of_smell","Common Cold","Moderate","continuous_sneezing,cough,high_fever","Medium","Severity and urgency inferred from symptom type. Sensory loss."
"fast_heart_rate","Pneumonia,Hyperthyroidism","Severe","chest_pain,breathlessness,cough","High","Severity and urgency inferred from symptom type. Cardiac concern."
"rusty_sputum","Pneumonia","Severe","cough,chest_pain,breathlessness","High","Severity and urgency inferred from symptom type. Specific to pneumonia."
"pain_during_bowel_movements","Hemorrhoids","Moderate","constipation,pain_in_anal_region,bloody_stool","Medium","Severity and urgency inferred from symptom type. Anal discomfort."
"pain_in_anal_region","Hemorrhoids","Moderate","constipation,pain_during_bowel_movements,bloody_stool","Medium","Severity and urgency inferred from symptom type. Anal pain."
"bloody_stool","Hemorrhoids","Severe","constipation,pain_during_bowel_movements,pain_in_anal_region","High","Severity and urgency inferred from symptom type. Gastrointestinal bleeding."
"irritation_in_anus","Hemorrhoids","Moderate","constipation,pain_during_bowel_movements,bloody_stool","Medium","Severity and urgency inferred from symptom type. Anal irritation."
"cramps","Varicose veins","Moderate","fatigue,bruising,obesity","Medium","Severity and urgency inferred from symptom type. Muscle spasms."
"bruising","Varicose veins","Moderate","fatigue,cramps,obesity","Medium","Severity and urgency inferred from symptom type. Skin discoloration."
"swollen_legs","Varicose veins","Moderate","fatigue,cramps,obesity","Medium","Severity and urgency inferred from symptom type. Vascular issue."
"swollen_blood_vessels","Varicose veins","Moderate","fatigue,cramps,obesity","Medium","Severity and urgency inferred from symptom type. Vascular swelling."
"prominent_veins_on_calf","Varicose veins","Moderate","fatigue,cramps,obesity","Medium","Severity and urgency inferred from symptom type. Visible veins."
"weight_gain","Hypothyroidism","Moderate","fatigue,lethargy,mood_swings","Medium","Severity and urgency inferred from symptom type. Metabolic symptom."
"cold_hands_and_feets","Hypothyroidism","Moderate","fatigue,weight_gain,lethargy","Medium","Severity and urgency inferred from symptom type. Circulation issue."
"mood_swings","Hypothyroidism,Hyperthyroidism","Moderate","fatigue,weight_gain,irritability","Medium","Severity and urgency inferred from symptom type. Mood changes."
"puffy_face_and_eyes","Hypothyroidism","Moderate","fatigue,weight_gain,lethargy","Medium","Severity and urgency inferred from symptom type. Facial swelling."
"enlarged_thyroid","Hypothyroidism","Severe","fatigue,weight_gain,lethargy","High","Severity and urgency inferred from symptom type. Thyroid dysfunction."
"brittle_nails","Hypothyroidism","Mild","fatigue,weight_gain,lethargy","Low","Severity and urgency inferred from symptom type. Nail changes."
"swollen_extremeties","Hypothyroidism","Moderate","fatigue,weight_gain,lethargy","Medium","Severity and urgency inferred from symptom type. Limb swelling."
"abnormal_menstruation","Hypothyroidism,Hyperthyroidism","Moderate","fatigue,mood_swings,irritability","Medium","Severity and urgency inferred from symptom type. Hormonal issue."
"muscle_weakness","Hyperthyroidism,Arthritis","Moderate","fatigue,mood_swings,swelling_joints","Medium","Severity and urgency inferred from symptom type. Muscle issue."
"anxiety","Hypoglycemia","Moderate","fatigue,sweating,headache","Medium","Severity and urgency inferred from symptom type. Nervous system symptom."
"drying_and_tingling_lips","Hypoglycemia","Moderate","fatigue,sweating,headache","Medium","Severity and urgency inferred from symptom type. Sensory symptom."
"slurred_speech","Hypoglycemia","Severe","fatigue,sweating,headache","High","Severity and urgency inferred from symptom type. Neurological concern."
"palpitations","Hypoglycemia","Severe","fatigue,sweating,headache","High","Severity and urgency inferred from symptom type. Cardiac symptom."
"knee_pain","Osteoarthritis","Moderate","joint_pain,neck_pain,hip_joint_pain","Medium","Severity and urgency inferred from symptom type. Joint pain."
"hip_joint_pain","Osteoarthritis","Moderate","joint_pain,neck_pain,knee_pain","Medium","Severity and urgency inferred from symptom type. Joint pain."
"swelling_joints","Osteoarthritis,Arthritis,Psoriasis","Moderate","joint_pain,painful_walking,movement_stiffness","Medium","Severity and urgency inferred from symptom type. Joint inflammation."
"painful_walking","Osteoarthritis,Arthritis","Moderate","joint_pain,swelling_joints,movement_stiffness","Medium","Severity and urgency inferred from symptom type. Mobility issue."
"movement_stiffness","Arthritis","Moderate","muscle_weakness,stiff_neck,swelling_joints","Medium","Severity and urgency inferred from symptom type. Joint stiffness."
"spinning_movements","(vertigo) Paroxysmal Positional Vertigo","Severe","vomiting,headache,nausea","High","Severity and urgency inferred from symptom type. Vertigo symptom."
"unsteadiness","(vertigo) Paroxysmal Positional Vertigo","Severe","vomiting,headache,nausea","High","Severity and urgency inferred from symptom type. Balance issue."
"pus_filled_pimples","Acne","Mild","skin_rash,blackheads,scurring","Low","Severity and urgency inferred from symptom type. Skin infection."
"blackheads","Acne","Mild","skin_rash,pus_filled_pimples,scurring","Low","Severity and urgency inferred from symptom type. Skin condition."
"scurring","Acne","Mild","skin_rash,pus_filled_pimples,blackheads","Low","Severity and urgency inferred from symptom type. Skin scarring."
"bladder_discomfort","Urinary tract infection","Moderate","burning_micturition,foul_smell_of_urine,continuous_feel_of_urine","Medium","Severity and urgency inferred from symptom type. Urinary issue."
"foul_smell_of_urine","Urinary tract infection","Moderate","burning_micturition,bladder_discomfort,continuous_feel_of_urine","Medium","Severity and urgency inferred from symptom type. Infection indicator."
"continuous_feel_of_urine","Urinary tract infection","Moderate","burning_micturition,bladder_discomfort,foul_smell_of_urine","Medium","Severity and urgency inferred from symptom type. Urinary urgency."
"skin_peeling","Psoriasis","Mild","skin_rash,joint_pain,silver_like_dusting","Low","Severity and urgency inferred from symptom type. Skin condition."
"silver_like_dusting","Psoriasis","Mild","skin_rash,joint_pain,skin_peeling","Low","Severity and urgency inferred from symptom type. Psoriasis-specific."
"small_dents_in_nails","Psoriasis","Mild","skin_rash,joint_pain,skin_peeling","Low","Severity and urgency inferred from symptom type. Nail changes."
"inflammatory_nails","Psoriasis","Mild","skin_rash,joint_pain,skin_peeling","Low","Severity and urgency inferred from symptom type. Nail inflammation."
"blister","Impetigo","Mild","skin_rash,high_fever,red_sore_around_nose","Low","Severity and urgency inferred from symptom type. Skin infection."
"red_sore_around_nose","Impetigo","Mild","skin_rash,high_fever,blister","Low","Severity and urgency inferred from symptom type. Facial infection."
"yellow_crust_ooze","Impetigo","Mild","skin_rash,high_fever,blister","Low","Severity and urgency inferred from symptom type. Infection discharge."
